participant_id,percentage,unitdur,correct,sum_correct,median_ncycle,median_rt
6,0.222,0.4,1,5,20.96499741077423,8.385998964309692
6,0.222,0.7,0,0,9.031446320669993,6.322012424468994
6,0.222,0.7,1,3,9.798589774540494,6.859012842178345
6,0.222,1.0,0,0,5.4975069761276245,5.4975069761276245
6,0.333,0.4,0,0,15.046303868293762,6.018521547317505
6,0.333,0.4,1,10,15.881317555904388,6.352527022361755
6,0.333,0.7,0,0,8.112962927137103,5.679074048995972
6,0.333,0.7,1,4,12.963545152119229,9.07448160648346
6,0.333,1.0,0,0,5.777027130126953,5.777027130126953
6,0.333,1.0,1,2,6.089919090270996,6.089919090270996
6,0.444,0.4,0,0,18.165024518966675,7.26600980758667
6,0.444,0.4,1,13,12.480072379112244,4.9920289516448975
6,0.444,0.7,0,0,10.209321294512069,7.146524906158447
6,0.444,0.7,1,8,11.11850346837725,7.782952427864075
6,0.444,1.0,0,0,7.609015941619873,7.609015941619873
6,0.444,1.0,1,3,8.069998025894165,8.069998025894165
6,0.556,0.4,1,14,8.427608907222748,3.371043562889099
6,0.556,0.7,0,0,7.95717579977853,5.570023059844971
6,0.556,0.7,1,11,7.409985746656146,5.186990022659302
6,0.556,1.0,0,0,7.556006908416748,7.556006908416748
6,0.556,1.0,1,8,7.413591384887695,7.413591384887695
6,0.667,0.4,0,0,4.449942111968994,1.7799768447875977
6,0.667,0.4,1,13,6.1775147914886475,2.471005916595459
6,0.667,0.7,0,0,7.917134421212333,5.541994094848633
6,0.667,0.7,1,10,5.378672906330654,3.7650710344314575
6,0.667,1.0,0,0,3.913007974624634,3.913007974624634
6,0.667,1.0,1,10,6.601986527442932,6.601986527442932
6,0.778,0.4,1,14,5.070018768310547,2.0280075073242188
6,0.778,0.7,1,13,6.110044206891741,4.277030944824219
6,0.778,1.0,0,0,5.182999134063721,5.182999134063721
6,0.778,1.0,1,11,6.40603494644165,6.40603494644165
6,0.889,0.4,1,13,4.619830250740051,1.8479321002960205
6,0.889,0.7,1,14,4.689379249300275,3.282565474510193
6,0.889,1.0,1,13,5.393991947174072,5.393991947174072
6,1.0,0.4,1,14,4.605079889297485,1.8420319557189941
6,1.0,0.7,1,14,4.186328649520874,2.930430054664612
6,1.0,1.0,1,14,4.627500534057617,4.627500534057617
7,0.0,0.4,0,0,14.686157405376433,5.874462962150574
7,0.0,0.4,1,122,11.813812553882599,4.7255250215530396
7,0.0,0.7,0,0,9.800258704594205,6.860181093215942
7,0.0,0.7,1,121,6.858598504747664,4.801018953323364
7,0.0,1.0,0,0,7.067023515701294,7.067023515701294
7,0.0,1.0,1,121,4.912071943283081,4.912071943283081
7,0.111,0.4,0,0,13.970040082931519,5.588016033172607
7,0.111,0.4,1,1,15.615124702453613,6.246049880981445
7,0.111,0.7,0,0,8.501371315547399,5.950959920883179
7,0.111,0.7,1,1,12.108532701219833,8.475972890853882
7,0.111,1.0,0,0,4.287041425704956,4.287041425704956
7,0.222,0.4,0,0,11.307297348976135,4.522918939590454
7,0.222,0.4,1,1,20.482280254364014,8.192912101745605
7,0.222,0.7,0,0,6.665498529161726,4.665848970413208
7,0.222,0.7,1,1,5.509978362492153,3.856984853744507
7,0.222,1.0,0,0,4.560904026031494,4.560904026031494
7,0.222,1.0,1,2,8.949519038200378,8.949519038200378
7,0.333,0.4,0,0,14.386406242847443,5.754562497138977
7,0.333,0.4,1,4,11.250115036964417,4.500046014785767
7,0.333,0.7,0,0,7.51648988042559,5.261542916297913
7,0.333,0.7,1,2,6.438754286084857,4.507128000259399
7,0.333,1.0,0,0,4.617053985595703,4.617053985595703
7,0.333,1.0,1,3,6.836976051330566,6.836976051330566
7,0.444,0.4,0,0,17.034945487976074,6.81397819519043
7,0.444,0.4,1,11,8.662737607955933,3.465095043182373
7,0.444,0.7,0,0,7.052850042070662,4.936995029449463
7,0.444,0.7,1,3,9.521561350141253,6.665092945098877
7,0.444,1.0,0,0,5.00600004196167,5.00600004196167
7,0.444,1.0,1,1,2.102037191390991,2.102037191390991
7,0.556,0.4,0,0,10.613884925842285,4.245553970336914
7,0.556,0.4,1,12,9.301269948482513,3.7205079793930054
7,0.556,0.7,0,0,9.972740582057408,6.9809184074401855
7,0.556,0.7,1,8,7.444201537540981,5.2109410762786865
7,0.556,1.0,0,0,5.260964035987854,5.260964035987854
7,0.556,1.0,1,4,6.000394940376282,6.000394940376282
7,0.667,0.4,1,14,5.5349016189575195,2.213960647583008
7,0.667,0.7,0,0,6.331737211772374,4.432216048240662
7,0.667,0.7,1,10,5.798587969371251,4.0590115785598755
