unitdur,percentage,participant_id,mean_yes,std_yes,sum_yes,n_trial
0.7,0.444,15,0.5384615384615384,0.5188745216627708,7,13
0.7,0.444,17,0.42857142857142855,0.5135525910130955,6,14
0.7,0.444,18,0.5,0.5222329678670935,6,12
0.7,0.444,20,0.7857142857142857,0.42581531362632,11,14
0.7,0.444,21,0.8571428571428571,0.36313651960128146,12,14
0.7,0.444,24,0.14285714285714285,0.36313651960128146,2,14
0.7,0.444,25,0.42857142857142855,0.5135525910130955,6,14
0.7,0.444,27,0.42857142857142855,0.5135525910130955,6,14
0.7,0.444,28,0.35714285714285715,0.4972451580988469,5,14
0.7,0.444,29,0.42857142857142855,0.5135525910130955,6,14
0.7,0.444,30,0.35714285714285715,0.4972451580988469,5,14
0.7,0.444,31,0.21428571428571427,0.42581531362632,3,14
0.7,0.444,34,0.14285714285714285,0.3631365196012814,2,14
0.7,0.444,35,0.42857142857142855,0.5135525910130955,6,14
0.7,0.444,36,0.46153846153846156,0.5188745216627708,6,13
0.7,0.556,1,0.5714285714285714,0.5135525910130955,8,14
0.7,0.556,3,0.9285714285714286,0.2672612419124244,13,14
0.7,0.556,4,0.9285714285714286,0.2672612419124244,13,14
0.7,0.556,5,0.6923076923076923,0.48038446141526137,9,13
0.7,0.556,6,0.7857142857142857,0.42581531362632,11,14
0.7,0.556,7,0.5714285714285714,0.5135525910130955,8,14
0.7,0.556,9,0.8571428571428571,0.3631365196012814,12,14
0.7,0.556,10,0.3076923076923077,0.48038446141526137,4,13
0.7,0.556,11,0.9285714285714286,0.2672612419124244,13,14
0.7,0.556,12,0.5833333333333334,0.5149286505444373,7,12
0.7,0.556,13,0.8571428571428571,0.36313651960128146,12,14
0.7,0.556,14,0.16666666666666666,0.38924947208076144,2,12
0.7,0.556,15,0.9230769230769231,0.2773500981126145,12,13
0.7,0.556,17,0.7142857142857143,0.4688072309384954,10,14
0.7,0.556,18,0.8333333333333334,0.38924947208076144,10,12
0.7,0.556,20,0.9285714285714286,0.2672612419124244,13,14
0.7,0.556,21,0.8571428571428571,0.36313651960128146,12,14
0.7,0.556,24,0.3076923076923077,0.4803844614152614,4,13
0.7,0.556,25,0.8571428571428571,0.3631365196012814,12,14
0.7,0.556,27,0.6428571428571429,0.4972451580988469,9,14
0.7,0.556,28,0.5,0.5188745216627708,7,14
0.7,0.556,29,0.5,0.5188745216627708,7,14
0.7,0.556,30,0.7142857142857143,0.4688072309384954,10,14
0.7,0.556,31,0.5,0.5188745216627708,7,14
0.7,0.556,34,0.5384615384615384,0.5188745216627708,7,13
0.7,0.556,35,0.9285714285714286,0.2672612419124244,13,14
0.7,0.556,36,0.6428571428571429,0.4972451580988469,9,14
0.7,0.667,1,0.7142857142857143,0.4688072309384954,10,14
0.7,0.667,3,0.9285714285714286,0.2672612419124244,13,14
0.7,0.667,4,1.0,0.0,14,14
0.7,0.667,5,0.9285714285714286,0.2672612419124244,13,14
0.7,0.667,6,0.7692307692307693,0.43852900965351466,10,13
0.7,0.667,7,0.7142857142857143,0.4688072309384954,10,14
0.7,0.667,9,0.7857142857142857,0.42581531362632014,11,14
0.7,0.667,10,0.25,0.45226701686664544,3,12
0.7,0.667,11,1.0,0.0,14,14
0.7,0.667,12,0.7692307692307693,0.4385290096535146,10,13
0.7,0.667,13,1.0,0.0,14,14
0.7,0.667,14,0.5454545454545454,0.5222329678670935,6,11
0.7,0.667,15,1.0,0.0,14,14
0.7,0.667,17,0.8571428571428571,0.3631365196012814,12,14
0.7,0.667,18,0.5833333333333334,0.5149286505444373,7,12
0.7,0.667,20,0.9285714285714286,0.2672612419124244,13,14
0.7,0.667,21,0.8571428571428571,0.36313651960128146,12,14
0.7,0.667,24,0.4166666666666667,0.5149286505444373,5,12
0.7,0.667,25,0.9285714285714286,0.2672612419124244,13,14
0.7,0.667,27,0.7142857142857143,0.46880723093849547,10,14
0.7,0.667,28,0.7692307692307693,0.4385290096535146,10,13
0.7,0.667,29,0.8571428571428571,0.36313651960128146,12,14
0.7,0.667,30,1.0,0.0,14,14
0.7,0.667,31,0.6428571428571429,0.4972451580988469,9,14
0.7,0.667,34,0.6153846153846154,0.5063696835418333,8,13
0.7,0.667,35,1.0,0.0,14,14
0.7,0.667,36,0.8571428571428571,0.3631365196012814,12,14
0.7,0.778,1,0.9285714285714286,0.2672612419124244,13,14
0.7,0.778,3,0.9285714285714286,0.2672612419124244,13,14
0.7,0.778,4,1.0,0.0,14,14
0.7,0.778,5,0.9285714285714286,0.2672612419124244,13,14
0.7,0.778,6,1.0,0.0,13,13
0.7,0.778,7,1.0,0.0,14,14
0.7,0.778,9,1.0,0.0,14,14
0.7,0.778,10,0.8333333333333334,0.3892494720807615,10,12
0.7,0.778,11,1.0,0.0,14,14
0.7,0.778,12,0.8333333333333334,0.38924947208076144,10,12
0.7,0.778,13,1.0,0.0,14,14
0.7,0.778,14,0.9,0.31622776601683794,9,10
0.7,0.778,15,1.0,0.0,14,14
